tag	arm	alloc_GB	copied_GB	maxres_GB	mut_s	gc_s	wall_s	modules
warmup	base	540.052	30.04	1.928	158.232	26.076	185	479
base1	base	540.042	30.90	2.060	157.631	26.891	186	479
T1a	T1	561.538	31.57	1.922	164.798	27.663	193	479
T2a	T2	541.752	30.39	1.847	159.577	26.840	187	479
T3a	T3	543.507	29.77	1.450	159.335	26.109	186	479
T4a	T4	547.435	31.56	1.980	157.553	27.204	186	479
T5a	T5	540.062	30.89	2.058	157.711	26.843	186	479
base2	base	540.042	30.90	2.060	157.621	26.917	186	479
T1b	T1	561.534	32.59	1.899	163.461	28.163	192	479
T2b	T2	541.758	29.68	1.391	156.558	25.769	183	479
T3b	T3	543.496	31.24	1.924	158.988	27.382	188	479
T4b	T4	547.441	30.84	2.019	158.546	26.650	185	479
T5b	T5	540.072	30.05	1.936	157.234	26.193	184	479
T15a	T15	574.082	33.17	1.972	167.323	28.825	197	479
T15b	T15	574.082	33.18	1.972	167.624	29.076	198	479
maina	main	840.623	66.03	2.041	237.155	57.412	295	472
mainb	main	840.623	66.03	2.041	234.886	56.887	293	472
base3	base	540.053	30.04	1.929	158.039	25.942	184	479
T2cca	T2cc	540.430	30.11	1.892	158.367	26.240	185	479
T2ccb	T2cc	540.441	30.92	2.033	155.908	26.739	184	479
T8a	T8	545.043	30.79	2.060	158.986	26.859	186	479
T8b	T8	545.043	30.79	2.060	159.479	26.937	188	479
